Year,Title,Director,Cast,Genre
2011,I'll Take My Chances,Desmond Elliot,Ini Edo Bryan Okwara Sam Loco Efe Jide Kosoko,Dance / romantic drama
2012,The Meeting,Mildred Okwo,Rita Dominic Femi JacobsLinda EjioforJide Kosoko Nse Ikpe Etim Kate Henshaw Chinedu Ikedieze,Romantic drama
2012,Weekend Getaway,Desmond Elliot,Genevieve Nnaji Uti NwachukwuIni EdoRamsey Nouah Beverly Naya Monalisa Chinda Alex Ekubo,Romantic drama
2012,Feathered Dreams,Andrew Rozhen,Omoni Oboli Evgeniy KazantsevAndrew Rozhen,Drama
2012,Fuelling Poverty,Ishaya Bako,,Documentary
2012,Journey to Self,Tope Oshin Ogun,Nse Ikpe EtimDakore AkandeKatherine ObiangTosin SidoAshionye Michelle Raccah,
2012,Adesuwa,Lancelot Oduwa Imasuen,Olu JacobsBob-Manuel UdokwuNgozi EzeonuKofi Adjorlolo,
2012,Hoodrush,Dimeji Ajibola,OC Ukeje Bimbo AkintolaGabriel AfolayanChelsea Eze,Musical thriller
2012,Phone Swap,Kunle Afolayan,Nse Ikpe EtimWale OjoLydia ForsonJoke Silva,Romantic comedy
2012,Last Flight to Abuja,Obi Emelonye,Omotola Jalade EkeindeHakeem Kae-KazimJim Iyke,Disaster / thriller
2012,Amina,Christian Ashaiku,OC Ukeje Omotola Jalade EkeindeWil JohnsonVan VickerVincent ReganAlison Carroll,Psychological drama
2012,Turning Point,Niyi Towolawi,Jackie Appiah K.D. AubertErnie HudsonTodd Bridges Patience Ozokwor,Drama
2013,Forgetting June,Ikechukwu Onyeka,Majid MichelBeverly NayaMbong Amata Blossom Chuks Chukwujekwu,Romantic drama
2013,Murder at Prime Suites,Eneaji Chris Eneng,Joseph BenjaminChelsea EzeKeira Hewatch Okey Uzoeshi,Crime / thriller
2013,Torn,Moses Inwang,Monalisa ChindaIreti DoyleJoseph Benjamin Tope TedelaJulius Agwu,Psychological thriller
2013,A Mile from Home,Eric Aghimien,Tope TedelaChiedozie 'Sambasa' NzeribeAlex Ayalogu,Romantic drama
2013,Finding Mercy,Desmond Elliot,Rita DominicUti NwachukwuChioma ChukwukaTamara Eteimo,Drama
2013,Half of a Yellow Sun,Biyi Bandele,Chiwetel EjioforThandie NewtonGenevieve NnajiOnyeka Onwenu Anika Noni Rose,Historical drama
2013,Lagos Cougars,Desmond Elliot,Monalisa ChindaUche JomboDaniella OkekeAlex Ekubo,Romantic drama
2013,B for Boy,Chika Anadu,Uche NwadiliNgozi NwanetoNonso Odogwu,
2013,Accident,Teco Benson,Chioma ChukwukaKalu IkeagwuFrederick Leonard,Thriller
2013,Gold Diggin,Rukky Sanda,Yvonne NelsonRukky SandaAlex Ekubo,Drama
2013,House of Gold,Pascal Amanfo,Majid MichelYvonne NelsonOmawumiIce Prince,Romantic drama
2013,Secret Room,Eneaji Chris Eneng,OC UkejeJide KosokoLinda Ejiofor Lilian Esoro,Thriller
2013,Flower Girl,Michelle Bello,Damilola AdegbiteChris AttohChuks ChukwujekwuEku Edewor,Romantic comedy
2013,Broken,Bright Wonder Obasi,Nse Ikpe EtimBimbo ManuelKalu Ikeagwu,Drama
2013,Awakening,James OmokweEthan Okwara,OC UkejeKehinde BankoleFemi BrainardTope Tedela,Dark thriller
2013,Doctor Bello,Tony Abulu,Isaiah WashingtonVivica A. FoxGenevieve NnajiJustus Esiri,Adventure
2013,Kamara's Tree,Desmond Elliot,".mw-parser-output .plainlist ol,.mw-parser-output .plainlist ul{line-height:inherit;list-style:none;margin:0;padding:0}.mw-parser-output .plainlist ol li,.mw-parser-output .plainlist ul li{margin-bottom:0}Desmond ElliotLydia ForsonIvie OkujayeTessy AbubakarBobby ObodoGinnefine KanuMorris K Sesay",Comedy drama
2013,Alan Poza,Charles Novia,OC UkejeBeverly NayaOkey UzoeshiBelinda EffahSylvia Oluchi,Romantic comedy
2013,One Night in Vegas,John Uche,Jimmy Jean-LouisJohn DumeloYvonne NelsonSarodj BertinVan VickerMichael Blackson,Comedy drama
2013,Confusion Na Wa,Kenneth Gyang,Ramsey NouahOC UkejeAli Nuhu,Dark comedy
2014,Dry,Stephanie Okereke,Stephanie Okereke Liz Benson William McNamaraDarwin Shaw,Drama
2014,Brother's Keeper,Ikechukwu Onyeka,Majid Michel Omoni Oboli Beverly NayaBarbara Soky,Thriller
2014,Oct-01,Kunle Afolayan,Sadiq Daba Kehinde Bankole David BaileDeola Sagoe,Dark psychological thriller
2014,Knocking on Heaven's Door,Desmond Elliot,Majid Michel Adesuwa Etomi Blossom ChukwujekwuIni Edo,Romantic drama / musical
2014,Render to Caesar,Desmond Ovbiagele Onyekachi Ejim,Gbenga AkinnagbeOmoni OboliWale Ojo Bimbo ManuelDede MabiakuKalu Ikeagwu,Crime drama
2014,Tunnel,Stanlee Ohikhuare,Nse Ikpe Etim Femi JacobsWaje,Drama
2014,Being Mrs Elliot,Omoni Oboli,Majid MichelOmoni OboliSylvia Oluchy Ayo Makun,Romantic comedy
2014,When Love Happens,Seyi Babatope,".mw-parser-output .plainlist ol,.mw-parser-output .plainlist ul{line-height:inherit;list-style:none;margin:0;padding:0}.mw-parser-output .plainlist ol li,.mw-parser-output .plainlist ul li{margin-bottom:0}Weruche OpiaOC UkejeBeverly NayaOreka GodisGideon OkekeBukky WrightDesmond ElliotWale Ojo",Romantic comedy
2014,30 Days in Atlanta,Robert Peters,Ayo Makun Vivica A. Fox Lynn WhitfieldKarlie Redd,Comedy
2014,Make a Move,Niyi Akinmolayan,Ivie Okujaye Tina MbaBeverly NayaWale Adebayo,Dance / musical
2014,Iyore,Frank Rajah Arase,Rita Dominic Bukky WrightJoseph Benjamin,Drama
2014,Champagne,Emem Isong,Majid MichelAlexx EkuboRosemary ZimuSusan PetersTana Adelana,Romantic thriller
2014,A Place in the Stars,Steve Gukas,Gideon OkekeSegun ArinzeMatilda ObasekiYemi BlaqFemi BranchDejumo Lewis,Thriller
2015,Best Okoduwa,Van VickerJudith AuduIreti Osayemi,Romantic drama,Dexterity Pictures
2015,The Duplex,Ikechukwu Onyeka,Omoni OboliMike EzuruonyeUru Eke,Supernatural Thriller
2015,Obi Emelonye,Ramsey NouahMercy JohnsonMary Njoku,Drama,The Nollywood Factory
2015,Uche JomboChet Anekwe,Drama,,[6]
2015,Tunde Kelani,"Kemi ""Lala"" AkindojuSeun AkindeleKunle AfolayanCarol King",Drama,Mainframe Films
2015,Gone Too Far!,Destiny Ekaragha,OC UkejeAdelayo AdedayoShanika Warren-Markland  Malachi Kirby,Comedy
2015,Darasen Richards  DJ Tee,Olu JacobsBimbo AkintolaGabriel Afolayan  Ricardo Agbor  Seun Akindele,Drama,Darasen Richards Films
2015,The Green Eyed,Blessing O. Oduefe,Nse Ikpe EtimKalu IkeagwuTamara Eteimo  Blossom Chukwujekwu,Drama
2015,Remi Vaughn Richards,Majid MichelOC UkejeDesmond ElliotJide KosokoOsas Ighodaro,Romantic thriller,InkBlot Productions  Closer Pictures  FilmOne Distribution
2015,Desmond Elliot,Ini EdoJoseph BenjaminVenita Akpofure,Drama,Royal Arts Academy
2015,Juliet Asante,Joselyn DumasUru EkeEnyinna Nwigwe,Drama,
2015,Bimbo ManuelFunlola Aofiyebi-RaimiSika Osei Marlon Mave,Drama,Sparrow Productions,[3][4]
2015,Yinka Idowu,Marie GomezOrwi Imanuel AmehArmour Owolabi Ronke Ogunmakin,Drama,
2015,Ramsey NouahMajid MichelChet Anekwe,Drama,,[21]
