,title,director,stars,genre,release_date,company
4105,No Way Out,"{""Iyke Odife""}","{""Tina Amuziam"",""Eucharia Anunobi Ekwu"",""Charles Awurum"",""Francis Duru"",""Shirley Amaka Ukachukwu""}",{Drama},2005-08-01,"{""Kensimon Production""}"
4106,Passionate Appeal 2,"{""Andy Amenechi""}","{""Angela Agwu"",""Charles Akhigbe"",""Gloria Anozie"",""Steve Eboh"",""Rita Edochie"",""Prince Eke"",""Ijeoma Ellams"",""Ayo Emmanuel"",""Rudiana Erhijakporo"",""Tony Goodman"",""Vincent Igwe"",""Chidinma Isaac"",""Nazareth Jesse"",""Nnenna Kalu"",""Celestine Mary"",""Paul Nnajiofor"",""Ramsey Nouah"",""Omaclean Nwachetam""}",{Drama},2006-12-01,"{""Annex Merchandise Ltd.""}"
4107,Focus,"{""Tolu Ajayi""}","{""Benjamin Abejide Adeniran"",""Anaekee Austine"",""Desmond Bryce"",""Sunday Bukola"",""Moshood Fattah"",""Anganati Kupiso"",Medo-Panda,""Leo Oji"",""Maggie Osueme"",""Nnenna Udeh"",""Genoveva Umeh"",""Princess Umukoro"",""Alice Faith Wanjiku""}",{Short},2021-10-01,"{""Paradigm Initiative"",""Up in The Sky Films""}"
4111,Love in Strange Places,"{""Emmanuel Anyaka""}","{""Ozioma Amaewhule"",""Stephen Bassey"",""Efe Henry"",""Moyo Lawal"",""Akeem Ogara"",""Becky Eloho Patrick"",""Maurice Sam"",""Okawa Shaznay"",""Florence Sunday""}",{Drama},2022-12-01,"{""Stanford Films Production""}"
4112,Journey to Self,"{""Tope Oshin""}","{""Dakore Akande"",""Chris Attoh"",""Femi Brainard"",""Kalu Ikeagwu"",""Nse Ikpe-Etim"",""Femi Jacobs"",""Carol King"",""Katherine Obiang"",""Ashionye Michelle Raccah"",""Tosin Sido""}",{Drama},2013-05-01,"{""AlleyKat Media""}"
4113,The Girl Is Mine,"{""Sunday Nnajiude""}","{""Hanks Anuku"",""Queen Nwokoye"",""Emeka Okoro"",""Oge Okoye""}",{Drama},2005-08-01,"{""Snude Entertainment""}"
4114,Battle of Indemnity,"{""Moses Ebere""}","{""Nkem Owoh"",""Chidi Ihesie"",""Chris Nkulor"",""Hayez Achu"",""Udochi Anthony"",""Roy De Nani"",""Kizzy Ikenna"",""Elder Maya Ndubuigbo"",""Louisa Nwobodo"",""Osondu Odom""}",{Comedy},2007-02-01,"{""Be Good Ventures""}"
4115,Gods of Liberation 2,"{""Moses Ebere""}","{""Zulu Adigwe"",""Chika Anyanwu"",""Colombus Arosanga"",""Remy Ohajianya"",""Alex Usifo Omiagbo"",""Zack Orji""}",{Drama},2005-08-01,"{""Ariscole Invest Film"",""Somaco Ind.""}"
4117,My School Prefect,"{""Ebube Nwabueze"",""Nonso Ekene Okonkwo""}","{""Ikem Chude"",""Yvonne Jegede"",""Ofia Afuluagu Mbaka"",""Ebube Nwabueze"",""Ebube Nwagbo"",""Barbara Ukattah""}",{Drama},2007-07-01,"{""Aka God Productions""}"
4118,Critical Condition 2,"{""Dickson Iroegbu""}","{""Chidi Mokeme"",""Genevieve Nnaji"",""Priscilla Williamson"",""Bobby Michaels"",""Fathia Balogun"",""Doris Ifeka"",""Ihuoma Daneil-Onyegbula"",""Emeka Macaulay"",""Suzzan Etuk"",""Jim Lawson"",""Doris Chima"",""Christopher Igwebuike Okoli"",""Nath Georgewill"",""Thelma O'Khaz"",""Nze C.O.C."",""Precious Igboanugo"",""Veronica Anunobi O."",""Val Agwulonu""}",{Drama},2008-04-01,"{""Goodlife Production""}"
4119,Kiss the Dust,"{""Ifeanyi Ekwem""}","{""Esther Audu"",""Shawn Blessed"",""Elvis Ede"",""Alexandra Ekwe"",""Emmanuel Chike Gabriel"",""Stella Idika"",""Kevin Ikeduba"",""Salida Isa"",""Chika Isreal"",""Chyke Iyke"",""Bimbola Jekenjede"",""Atim Joe"",""Uche Johnney"",""Aminu Jubril"",""Akim V. Konneh"",""Sanosee Lially"",""Clem Ohameze"",""Amaka Okemadu""}","{Action,Drama}",2008-11-01,"{ChikeTEGAbiakam,""Chino International"",""God's Work Global Productions""}"
4120,Trapped in Between,"{""Victor Okpala""}","{""Stephen Damian"",""Linda Ejiofor"",""Alexx Ekubo"",""Lilian Esoro"",Igosave,""Happiness James"",""Maryjane Lawrence"",""Daniel Lloyd"",""Mercy Macjoe"",""Victoria Okeke""}",{Drama},2019-11-01,"{""Dope7 Media""}"
4121,Big Pretenders,"{""Stanley Williams""}","{""Joe Adekwa"",""Moses Armstrong"",""Lilian Bach"",""Chibuzor Blessing"",""Desmond Elliot"",""Ernest Enobong"",""Zack Orji"",""Celestine Ovia""}",{Romance},2004-07-01,"{""Magnetic Lynks""}"
4122,Two in Love,"{""Iwuanyanwu Ckuks""}","{""Abigail Ani"",""Obey Etok"",""Jim Iyke"",""Ashley Nwosu"",""Mary Okolo"",""Georgina Onuoha""}",{Drama},2004-11-01,"{""Pakas Movies Industries""}"
4124,A Can of Worms 2,"{""Uzoma Abanihi""}","{""Enebeli Elebuwa"",""Shan George"",""Emeka Ike"",""Uche Iwuji"",""Olu Jacobs"",""Sola Sobowale""}",{Drama},2008-03-01,"{""Bonag Industries Nigeria""}"
